Year,Day_of_year,410_MHZ,610_MHZ,1415_MHZ,2.70_GHZ,5_GHZ,8.8_GHZ,15_GHZ,245_MHZ
1998.0, 126.0, 1220.655, 3134.528, 608.1333, 617.7526, 1216.247, 1730.4, 2434.382, 64983.9
1998.0, 237.0, 444.0, 274.0, 1045.0, 2272.0, 3239.0, 2108.0, 1398.0, 791.0
1998.0, 273.0, 91.0, 223.0, 395.0, 592.0, 627.0, 575.0, 614.0, 221.0
1998.0, 122.0, 19743.33, 18813.71, 4337.895, 1374.552, 2227.029, 4014.669, 2180.563, 14096.21
1998.0, 126.0, 1280.145, 2743.137, 606.2364, 636.239, 1240.188, 2415.194, 2023.537, 107643.9
1998.0, 235.0, 95.11604, 239.4671, 307.1136, 631.9263, 1193.079, 2297.171, 2487.641, 100.848
1998.0, 266.0, 1929.08, 1757.791, 1374.977, 1252.545, 1630.551, 1581.21, 1383.682, 4282.279
1998.0, 273.0, 79.53075, 5255.461, 101.9829, 133.0342, 190.1606, 223.9601, 963.6811, 748.1023
1998.0, 236.0, 59.0, 855.7775, 540.2877, 348.2007, 1034.066, 2213.854, 3317.091, 59.0
1998.0, 266.0, 1378.881, 1889.816, 1499.412, 1234.619, 1610.846, 1728.678, 1577.871, 2917.467
1999.0, 123.0, 0.0, 0.0, 321.751, 302.7906, 233.8987, 398.3513, 621.5181, 0.0
1999.0, 155.0, 0.0, 0.0, 502.6703, 527.9117, 1793.506, 2790.992, 0.0, 0.0
1999.0, 115.0, 59.0, 1459.884, 221.7805, 703.0101, 81.25226, 117.0743, 222.5389, 59.0
1999.0, 20.0, 549.0, 1309.0, 6670.0, 13099.0, 21134.0, 32642.0, 518.0, 499.0
1997.0, 310.0, 3408.164, 5009.414, 2074.476, 3509.028, 6303.152, 8632.301, 11205.82, 53586.21
1997.0, 308.0, 7389.742, 783.7059, 420.3172, 658.8436, 793.8693, 867.3492, 921.2295, 12265.68
1997.0, 310.0, 3861.377, 5069.348, 2385.797, 3392.688, 7121.207, 10297.57, 10272.4, 50896.12
2000.0, 95.0, 454398.5, 1703.756, 555.6413, 635.4612, 460.1993, 423.1611, 668.0024, 445.5876
2000.0, 209.0, 6289.0, 732.0, 227.0, 296.0, 493.0, 758.0, 924.0, 628.0
2000.0, 223.0, 224383.0, 938.0, 381.0, 232.0, 241.0, 314.0, 662.0, 1277.0
2000.0, 224.0, 107.0, 81.0, 196.0, 232.0, 59941.0, 326.0, 675.0, 115.0
2000.0, 159.0, 7555.0, 17532.0, 6723.0, 2456.0, 2938.0, 3709.0, 2116.0, 4188.0
2000.0, 197.0, 38131.0, 31551.0, 5854.0, 3132.0, 6819.0, 8895.0, 6917.0, 31155.0
2000.0, 163.0, 3251.0, 9084.0, 1732.0, 731.0, 931.0, 649.0, 727.0, 118.0
2000.0, 330.0, 5920.0, 33607.0, 3798.0, 1518.0, 2639.0, 7575.0, 14142.0, 3955.0
2000.0, 94.0, 437798.0, 444944.0, 76094.0, 52471.0, 33889.0, 47304.0, 48514.0, 344539.0
2001.0, 88.0, 103776.0, 58788.0, 3586.0, 4920.0, 9247.0, 12595.0, 8234.0, 52706.0
2001.0, 92.0, 44.0, 60.0, 192.0, 469.0, 843.0, 38378.0, 44906.0, 245.0
2001.0, 93.0, 103.0, 474.0, 1157.0, 4108.0, 7057.0, 10516.0, 9094.0, 359.0
2001.0, 92.0, 60.0, 104.0, 3202.0, 11545.0, 708.0, 669.0, 702.0, 215.0
2001.0, 100.0, 52582.0, 9450.0, 2361.0, 5003.0, 6193.0, 7252.0, 5654.0, 7841.0
2001.0, 99.0, 86378.0, 49312.0, 26330.0, 517.0, 437.0, 423.0, 597.0, 931.0
2001.0, 106.0, 381231.0, 400831.0, 79249.0, 44399.0, 36816.0, 38630.0, 46344.0, 303165.0
2001.0, 128.0, 431747.0, 407349.0, 83673.0, 58325.0, 37148.0, 39509.0, 45323.0, 15.0
2001.0, 227.0, 28.0, 58.0, 124.0, 191.0, 282.0, 380.0, 41125.0, 21.0
2001.0, 267.0, 379403.0, 427675.0, 85381.0, 45384.0, 37854.0, 37808.0, 46127.0, 104.0
2001.0, 274.0, 440584.0, 429074.0, 78772.0, 44440.0, 37469.0, 37362.0, 45182.0, 971.0
2001.0, 292.0, 25607.0, 31169.0, 8027.0, 1626.0, 858.0, 1350.0, 1275.0, 9295.0
2001.0, 321.0, 246.0, 300.0, 257.0, 329.0, 356.0, 444.0, 607.0, 962.0
2001.0, 326.0, 325.0, 186.0, 43891.0, 9795.0, 403.0, 423.0, 601.0, 2948.0
2001.0, 326.0, 1822.0, 3675.0, 2307.0, 1175.0, 1237.0, 949.0, 863.0, 1561.0
2001.0, 360.0, 223.0, 264.0, 803.0, 2923.0, 4266.0, 4270.0, 2395.0, 217.0
2001.0, 362.0, 54.0, 87.0, 184.0, 517.0, 1499.0, 1504.0, 692.0, 86.0
2001.0, 365.0, 405855.0, 377003.0, 79415.0, 44578.0, 35897.0, 39386.0, 44650.0, 495825.0
2001.0, 308.0, 118.0, 239.0, 829.0, 1248.0, 1731.0, 1031.0, 519.0, 77.0
2001.0, 360.0, 364615.0, 434254.0, 96142.0, 33638.0, 41880.0, 52823.0, 42683.0, 462551.0
2001.0, 365.0, 375066.0, 413840.0, 75603.0, 190.0, 230.0, 309.0, 497.0, 500000.0
2001.0, 292.0, 33462.0, 32420.0, 8456.0, 1579.0, 815.0, 1089.0, 750.0, 10931.0
2001.0, 292.0, 2256.0, 2328.0, 809.0, 870.0, 816.0, 585.0, 766.0, 799.0
2001.0, 295.0, 535.0, 599.0, 664.0, 952.0, 1940.0, 2152.0, 3925.0, 1365.0
2001.0, 292.0, 10494.0, 4231.0, 15171.0, 1183.0, 1690.0, 3975.0, 4856.0, 13126.0
2001.0, 295.0, 493.0, 675.0, 743.0, 1011.0, 1984.0, 2758.0, 4342.0, 1636.0
2001.0, 308.0, 3815.0, 3714.0, 1791.0, 2114.0, 3097.0, 3269.0, 2214.0, 7602.0
2001.0, 362.0, 187.0, 102.0, 290.0, 1003.0, 3074.0, 2357.0, 583.0, 371.0
2001.0, 91.0, 70.0, 115.0, 462.0, 1365.0, 3350.0, 3777.0, 2739.0, 197.0
2001.0, 92.0, 312.0, 126.0, 286.0, 836.0, 909.0, 1350.0, 1224.0, 248.0
2001.0, 93.0, 547.0, 996.0, 4397.0, 3749.0, 5748.0, 7551.0, 12304.0, 46522.0
2001.0, 100.0, 5002.0, 37493.0, 4843.0, 1709.0, 3956.0, 5559.0, 6159.0, 6778.0
2001.0, 89.0, 495914.0, 500000.0, 72746.0, 64810.0, 49669.0, 42696.0, 73280.0, 500000.0
2001.0, 222.0, 454305.0, 470734.0, 90160.0, 48319.0, 43655.0, 42992.0, 55197.0, 456549.0
2001.0, 260.0, 21023.0, 7060.0, 197.0, 209.0, 272.0, 364.0, 2345.0, 12214.0
2001.0, 92.0, 136.0, 131.0, 305.0, 451.0, 814.0, 1231.0, 1621.0, 392.0
2001.0, 93.0, 739.0, 1015.0, 4643.0, 4417.0, 5707.0, 7528.0, 14066.0, 50036.0
2001.0, 108.0, 506125.0, 410344.0, 97163.0, 27051.0, 43547.0, 53279.0, 44504.0, 467764.0
2002.0, 107.0, 21787.0, 15115.0, 3613.0, 3497.0, 3715.0, 2618.0, 1591.0, 4957.0
2002.0, 111.0, 5359.0, 11463.0, 100041.0, 2164.0, 2795.0, 3067.0, 1947.0, 789.0
2002.0, 198.0, 484.0, 62.0, 301.0, 779.0, 1293.0, 2233.0, 2369.0, 69.0
2002.0, 200.0, 474191.0, 400906.0, 115.0, 172.0, 262.0, 332.0, 551.0, 299440.0
2002.0, 204.0, 1505.0, 1630.0, 1571.0, 1994.0, 4600.0, 8835.0, 10927.0, 6457.0
2002.0, 233.0, 596.0, 123.0, 279.0, 374.0, 400.0, 697.0, 1469.0, 1488.0
2002.0, 233.0, 1119.0, 5054.0, 218.0, 655.0, 1819.0, 2145.0, 2190.0, 1219.0
2002.0, 234.0, 181.0, 365.0, 400.0, 467.0, 772.0, 599.0, 817.0, 263.0
2002.0, 236.0, 284.0, 130.0, 509.0, 988.0, 5305.0, 12060.0, 18201.0, 477.0
2002.0, 8.0, 25512.0, 63.0, 128.0, 163.0, 210.0, 282.0, 482.0, 36.0
2002.0, 9.0, 119.0, 68.0, 708.0, 408.0, 821.0, 967.0, 901.0, 33.0
2002.0, 15.0, 387054.0, 445444.0, 82923.0, 33966.0, 41825.0, 39173.0, 40397.0, 465375.0
2002.0, 50.0, 72.0, 66.0, 30911.0, 33018.0, 43971.0, 39951.0, 38319.0, 81.0
2002.0, 74.0, 256.0, 256.0, 365.0, 348.0, 360.0, 397.0, 582.0, 405.0
2002.0, 76.0, 244.0, 368.0, 204.0, 454.0, 1016.0, 1308.0, 1453.0, 295.0
2002.0, 77.0, 724.0, 2343.0, 25629.0, 290.0, 264.0, 344.0, 599.0, 978.0
2002.0, 111.0, 5007.0, 13444.0, 99608.0, 2048.0, 3196.0, 3160.0, 1950.0, 757.0
2002.0, 189.0, 460910.0, 358159.0, 105804.0, 35735.0, 43595.0, 41154.0, 38643.0, 470625.0
2002.0, 196.0, 14423.0, 5110.0, 1208.0, 2080.0, 6693.0, 14762.0, 21065.0, 25488.0
2002.0, 201.0, 373.0, 441.0, 1449.0, 2247.0, 60435.0, 54270.0, 22047.0, 12457.0
2002.0, 204.0, 1543.0, 1175.0, 1766.0, 1781.0, 5026.0, 8496.0, 11015.0, 8114.0
2002.0, 226.0, 76.0, 99.0, 245.0, 345.0, 385.0, 513.0, 616.0, 22745.0
2002.0, 234.0, 419.0, 365.0, 439.0, 481.0, 792.0, 565.0, 633.0, 2889.0
2002.0, 236.0, 501.0, 170.0, 568.0, 1422.0, 6239.0, 10175.0, 18757.0, 1897.0
2002.0, 8.0, 708.0, 10192.0, 364.0, 3128.0, 14637.0, 22028.0, 22028.0, 430038.0
2002.0, 14.0, 1464.0, 3726.0, 114471.0, 19159.0, 27212.0, 60142.0, 60142.0, 672.0
2002.0, 313.0, 193.0, 137.0, 589.0, 942.0, 1158.0, 1071.0, 1071.0, 594.0
2002.0, 80.0, 100.0, 133.0, 127.0, 41640.0, 48755.0, 43377.0, 33407.0, 337830.0
2002.0, 81.0, 155.0, 476.0, 144.0, 196.0, 245.0, 366.0, 564.0, 255.0
2002.0, 107.0, 19466.0, 20662.0, 3855.0, 3208.0, 4574.0, 2833.0, 1491.0, 4533.0
2002.0, 197.0, 325.0, 88.0, 139.0, 200.0, 389.0, 454.0, 622.0, 132.0
2002.0, 313.0, 212.0, 152.0, 541.0, 963.0, 1297.0, 1298.0, 1051.0, 367.0
2003.0, 148.0, 43752.0, 70866.0, 2288.0, 1667.0, 3246.0, 5553.0, 5748.0, 381060.0
2003.0, 149.0, 29185.0, 8776.0, 1840.0, 865.0, 2219.0, 3611.0, 2576.0, 21870.0
2003.0, 151.0, 1660.0, 2768.0, 1841.0, 1451.0, 3658.0, 7472.0, 8819.0, 18245.0
2003.0, 166.0, 226.0, 197.0, 613.0, 986.0, 2117.0, 2807.0, 4487.0, 2052.0
2003.0, 300.0, 375.0, 320.0, 706.0, 1255.0, 1211.0, 3262.0, 5348.0, 696.0
2003.0, 306.0, 448.0, 204.0, 184.0, 248.0, 469.0, 830.0, 1021.0, 410.0
2003.0, 307.0, 47484.0, 788.0, 3088.0, 6310.0, 7799.0, 16793.0, 17398.0, 3465.0
2003.0, 308.0, 156.0, 75.0, 108.0, 203.0, 594.0, 1449.0, 1914.0, 330.0
2003.0, 324.0, 207.0, 327.0, 630.0, 897.0, 948.0, 719.0, 742.0, 326.0
2003.0, 148.0, 52400.0, 71987.0, 2628.0, 1861.0, 3910.0, 5494.0, 6305.0, 500000.0
2003.0, 149.0, 27560.0, 6303.0, 1867.0, 954.0, 2719.0, 3773.0, 2782.0, 31212.0
2003.0, 149.0, 315.0, 134.0, 341.0, 501.0, 1058.0, 1465.0, 1341.0, 25861.0
2003.0, 151.0, 2124.0, 2688.0, 1936.0, 1719.0, 4295.0, 6369.0, 9106.0, 23220.0
2003.0, 153.0, 471.0, 475.0, 150.0, 811.0, 2026.0, 1915.0, 1316.0, 4995.0
2003.0, 168.0, 643.0, 554.0, 712.0, 2337.0, 3988.0, 3697.0, 3048.0, 1294.0
